date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte,product,wx_temperature_2m,wx_precipitation,wx_cloudcover,is_holiday,dow,weekofyear,is_holiday_prev,is_holiday_next,dow_sin,dow_cos,totals_day_t1,share_day_t1,totals_day_roll_7,competitor_sum_t1
2024-08-07,18.12,1.0,18.12,16.0,16.0,16.0,2024,8,7,2,3,32,0,0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,0.0,0.0,2.0,0.0,0.14285714285714285,0.36666666666666664,0.3779644730092264,7.0,180.74,0.1428571428571428,False,False,False,False,False,True,False,False,Espresso,21.2,0.1,15.8,False,2,32,0,0,0.9749279121818236,-0.22252093395631434,9.0,0.0,11.714285714285714,9.0
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,25,1,2,26,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,1.0,0.0,0.0,0.5714285714285714,0.7,0.7867957924694428,4.0,141.07999999999998,0.0,True,False,False,False,False,False,False,False,Americano,22.4,0.2,38.0,False,1,26,0,0,0.7818314824680298,0.6234898018587336,9.0,0.0,7.571428571428571,9.0
2025-03-06,77.88,3.0,25.959999999999997,12.0,13.0,12.333333333333334,2025,3,6,3,1,10,0,0,0,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,6.0,5.0,8.0,6.333333333333333,5.285714285714286,4.566666666666666,2.288688541085313,12.0,370.32,0.25,True,False,False,False,False,False,False,False,Americano,13.075000000000001,0.0,4.833333333333333,False,3,10,0,0,0.43388373911755823,-0.900968867902419,19.0,0.3157894736842105,15.285714285714286,13.0
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,2,1,3,27,0,0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,159.2,0.0,False,False,False,True,False,False,False,False,Cocoa,28.683333333333334,0.2,78.66666666666667,False,1,27,0,0,0.7818314824680298,0.6234898018587336,4.0,0.0,4.857142857142857,4.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,8,2,1,2,0,0,0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.0,199.86,0.0,False,False,False,False,False,True,False,False,Espresso,5.1,0.0,94.0,False,2,2,0,0,0.9749279121818236,-0.22252093395631434,1.0,0.0,4.428571428571429,1.0
2024-08-05,0.0,0.0,0.0,0.0,0.0,0.0,2024,8,5,0,3,32,0,0,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.4,0.7867957924694428,12.0,364.44,0.0,False,False,False,False,False,True,False,False,Espresso,21.66923076923077,0.2,36.84615384615385,False,0,32,0,0,0.0,1.0,8.0,0.0,13.285714285714286,8.0
2024-07-20,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,20,5,3,29,1,0,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.37796447300922836,7.0,200.34,0.0,False,False,False,False,True,False,False,False,Cortado,25.11428571428571,0.0,23.142857142857142,False,5,29,0,0,-0.9749279121818236,-0.2225209339563146,11.0,0.0,4.857142857142857,11.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,4,3,2,14,0,0,0,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,5.0,185.0,0.0,False,False,False,True,False,False,False,False,Cocoa,8.0,0.0,59.4,False,3,14,0,0,0.43388373911755823,-0.900968867902419,4.0,0.0,4.285714285714286,4.0
2024-09-26,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,26,3,3,39,0,0,0,-0.8660254037844384,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0.0,0.0,0.0,0.0,0.2857142857142857,0.26666666666666666,0.48795003647426627,8.0,228.26,0.0,False,False,False,True,False,False,False,False,Cocoa,19.88888888888889,0.8,66.0,False,3,39,0,0,0.43388373911755823,-0.900968867902419,11.0,0.0,12.428571428571429,11.0
2025-02-07,71.52,2.0,35.76,18.0,18.0,18.0,2025,2,7,4,1,6,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,2.0,0.0,1.0,2.0,1.6666666666666667,1.527525231651945,16.0,508.46,0.125,False,False,False,False,False,False,False,True,Latte,-3.43125,0.0,100.0,False,4,6,0,0,-0.433883739117558,-0.9009688679024191,12.0,0.08333333333333333,14.714285714285714,11.0
2024-08-28,23.02,1.0,23.02,15.0,15.0,15.0,2024,8,28,2,3,35,0,0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,0.0,1.0,3.0,2.0,2.0,1.4,1.825741858350553,4.0,111.68,0.25,True,False,False,False,False,False,False,False,Americano,30.125,0.0,28.25,False,2,35,0,0,0.9749279121818236,-0.22252093395631434,2.0,0.0,7.285714285714286,2.0
2024-09-09,23.02,1.0,23.02,18.0,18.0,18.0,2024,9,9,0,3,37,0,0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,1.0,2.0,4.0,1.6666666666666667,1.5714285714285714,1.3666666666666667,1.133893419027681,17.0,518.74,0.0588235294117647,True,False,False,False,False,False,False,False,Americano,21.470588235294116,0.0,0.0,False,0,37,0,0,0.0,1.0,6.0,0.16666666666666666,12.428571428571429,5.0
2024-12-29,42.12,2.0,21.06,17.0,19.0,18.0,2024,12,29,6,4,52,1,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.3,0.48795003647426566,9.0,253.24,0.2222222222222222,False,False,False,False,False,True,False,False,Espresso,0.1375,0.0,100.0,False,6,52,0,0,-0.7818314824680299,0.6234898018587334,8.0,0.0,7.714285714285714,8.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,15,0,2,16,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.4,0.8997354108424375,5.0,150.39999999999998,0.0,False,False,False,False,False,False,True,False,Hot Chocolate,10.78,0.4,90.8,False,0,16,0,0,0.0,1.0,13.0,0.0,6.857142857142857,13.0
2024-09-13,23.02,1.0,23.02,0.0,0.0,0.0,2024,9,13,4,3,37,0,0,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,5.0,0.0,0.0,2.3333333333333335,2.2857142857142856,1.4,2.360387377408329,9.0,265.98,0.1111111111111111,False,False,False,False,True,False,False,False,Cortado,22.133333333333336,0.30000000000000004,54.833333333333336,False,4,37,0,0,-0.433883739117558,-0.9009688679024191,10.0,0.5,12.0,5.0
2024-07-25,55.84,2.0,27.92,0.0,13.0,6.5,2024,7,25,3,3,30,0,0,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,2.0,1.0,1.0,2.0,1.2857142857142858,1.4333333333333333,1.1126972805283761,9.0,246.38,0.2222222222222222,False,True,False,False,False,False,False,False,Americano with Milk,21.2,0.0,66.5,False,3,30,0,0,0.43388373911755823,-0.900968867902419,12.0,0.16666666666666666,7.857142857142857,10.0
2024-10-02,61.72,2.0,30.86,12.0,13.0,12.5,2024,10,2,2,4,40,0,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.2225209339563143,8.0,7.0,0.0,5.0,4.714285714285714,3.6,2.690370836538196,8.0,266.48,0.25,False,True,False,False,False,False,False,False,Americano with Milk,14.072727272727274,0.0,87.81818181818181,False,2,40,0,0,0.9749279121818236,-0.22252093395631434,16.0,0.5,12.714285714285714,8.0
2024-07-31,167.52,6.0,27.92,10.0,23.0,13.833333333333334,2024,7,31,2,3,31,0,0,1,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,12.0,2.0,1.0,5.0,4.0,2.0,3.8729833462074166,22.0,624.04,0.2727272727272727,False,True,False,False,False,False,False,False,Americano with Milk,19.599999999999998,1.2000000000000002,17.363636363636363,False,2,31,0,0,0.9749279121818236,-0.22252093395631434,22.0,0.5454545454545454,12.714285714285714,10.0
2024-07-01,23.02,1.0,23.02,21.0,21.0,21.0,2024,7,1,0,3,27,0,1,0,1.2246467991473532e-16,-1.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.5345224838248485,4.0,131.28,0.25,False,False,False,False,False,True,False,False,Espresso,25.8,0.0,92.0,False,0,27,0,0,0.0,1.0,4.0,0.25,5.571428571428571,3.0
2024-10-07,107.28,3.0,35.76,0.0,0.0,0.0,2024,10,7,0,4,41,0,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,1.0,1.0,2.0,1.6666666666666667,2.0,0.7666666666666667,1.6329931618554514,13.0,435.48,0.2307692307692307,False,False,False,False,False,False,True,False,Hot Chocolate,10.950000000000001,5.7,100.0,False,0,41,0,0,0.0,1.0,16.0,0.0625,11.428571428571429,15.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,23,1,2,17,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0,0.0,2.0,0.3333333333333333,0.5714285714285714,0.4666666666666667,0.7867957924694434,5.0,173.9,0.0,False,False,False,False,False,False,True,False,Hot Chocolate,11.2,0.0,91.6,False,1,17,0,0,0.7818314824680298,0.6234898018587336,5.0,0.0,7.571428571428571,5.0
2024-06-08,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,8,5,2,23,1,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.0,0.0,3.0,0.6666666666666666,0.2857142857142857,1.4666666666666666,0.4879500364742661,4.0,136.18,0.0,True,False,False,False,False,False,False,False,Americano,17.75,10.8,50.0,False,5,23,0,0,-0.9749279121818236,-0.2225209339563146,10.0,0.0,9.428571428571429,10.0
2025-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,15,2,1,3,0,0,0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.0,2.0,0.0,0.0,0.2857142857142857,0.4666666666666667,0.7559289460184532,10.0,342.9,0.0,False,False,False,True,False,False,False,False,Cocoa,0.7899999999999999,0.0,100.0,False,2,3,0,0,0.9749279121818236,-0.22252093395631434,8.0,0.0,8.0,8.0
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,14,4,2,24,0,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,2.0,1.0,0.3333333333333333,1.2857142857142858,1.9333333333333333,1.1126972805283724,5.0,159.2,0.0,False,False,True,False,False,False,False,False,Cappuccino,19.15,3.2,100.0,False,4,24,0,0,-0.433883739117558,-0.9009688679024191,11.0,0.0,8.0,11.0
2024-03-19,77.4,2.0,38.7,16.0,16.0,16.0,2024,3,19,1,1,12,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,1.0,3.0,0.3333333333333333,0.8571428571428571,1.4444444444444444,1.0690449676496978,6.0,219.9,0.3333333333333333,False,False,False,False,False,False,False,True,Latte,3.5666666666666664,0.0,65.83333333333333,False,1,12,0,0,0.7818314824680298,0.6234898018587336,4.0,0.0,6.142857142857143,4.0
2024-06-25,37.72,1.0,37.72,14.0,14.0,14.0,2024,6,25,1,2,26,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,6.0,3.0,0.0,2.3333333333333335,2.2857142857142856,1.7333333333333334,2.138089935299394,4.0,141.07999999999998,0.25,False,False,True,False,False,False,False,False,Cappuccino,22.4,0.2,38.0,False,1,26,0,0,0.7818314824680298,0.6234898018587336,9.0,0.6666666666666666,7.571428571428571,3.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,10,2,2,15,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,0.0,2.0,2.0,0.3333333333333333,0.8571428571428571,1.0,0.8997354108424377,5.0,166.4,0.0,False,False,False,False,True,False,False,False,Cortado,17.22,0.0,4.4,False,2,15,0,0,0.9749279121818236,-0.22252093395631434,5.0,0.0,6.571428571428571,5.0
2025-01-26,25.96,1.0,25.96,14.0,14.0,14.0,2025,1,26,6,1,4,1,0,0,0.0,1.0,-0.7818314824680299,0.6234898018587334,1.0,0.0,1.0,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.7559289460184553,2.0,47.02,0.5,True,False,False,False,False,False,False,False,Americano,8.5,0.0,100.0,False,6,4,0,0,-0.7818314824680299,0.6234898018587334,5.0,0.2,5.0,4.0
2024-10-26,123.44,4.0,30.86,17.0,23.0,19.0,2024,10,26,5,4,43,1,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1.0,2.0,2.0,2.0,1.7142857142857142,2.533333333333333,1.1126972805283728,18.0,570.18,0.2222222222222222,False,True,False,False,False,False,False,False,Americano with Milk,8.0125,0.0,42.25,False,5,43,0,0,-0.9749279121818236,-0.2225209339563146,17.0,0.058823529411764705,14.0,16.0
2024-11-10,77.88,3.0,25.959999999999997,0.0,11.0,3.6666666666666665,2024,11,10,6,4,45,1,0,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,2.0,3.0,0.0,2.0,1.5714285714285714,1.3,0.975900072948532,9.0,292.44,0.3333333333333333,True,False,False,False,False,False,False,False,Americano,3.35,0.0,100.0,False,6,45,0,0,-0.7818314824680299,0.6234898018587334,15.0,0.13333333333333333,11.142857142857142,13.0
2025-02-22,35.76,1.0,35.76,12.0,12.0,12.0,2025,2,22,5,1,8,1,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,2.0,0.0,1.6666666666666667,1.8571428571428572,1.0,0.6900655593423506,5.0,139.6,0.2,False,False,False,False,False,False,True,False,Hot Chocolate,-6.779999999999999,0.0,0.0,False,5,8,0,0,-0.9749279121818236,-0.2225209339563146,23.0,0.043478260869565216,17.0,22.0
2024-03-08,28.9,1.0,28.9,12.0,12.0,12.0,2024,3,8,4,1,10,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,0.0,,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.7867957924694432,8.0,265.5,0.125,False,False,False,False,True,False,False,False,Cortado,4.6375,0.0,0.0,True,4,10,0,1,-0.433883739117558,-0.9009688679024191,6.0,0.0,7.428571428571429,6.0
2024-06-23,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,23,6,2,25,1,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.6666666666666666,1.0,0.8666666666666667,1.154700538379251,3.0,103.36,0.0,True,False,False,False,False,False,False,False,Americano,18.46,0.0,1.4,True,6,25,1,1,-0.7818314824680299,0.6234898018587334,4.0,0.0,8.857142857142858,4.0
2025-02-14,42.12,2.0,21.06,16.0,19.0,17.5,2025,2,14,4,1,7,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.3,0.4879500364742656,15.0,458.0,0.1333333333333333,False,False,False,False,False,True,False,False,Espresso,0.31333333333333335,8.3,100.0,False,4,7,0,0,-0.433883739117558,-0.9009688679024191,13.0,0.07692307692307693,14.142857142857142,12.0
2025-02-18,0.0,0.0,0.0,0.0,0.0,0.0,2025,2,18,1,1,8,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,0.0,2.0,0.0,0.0,0.6,0.0,18.0,555.48,0.0,False,False,False,False,True,False,False,False,Cortado,-7.105555555555556,0.0,23.444444444444443,False,1,8,0,0,0.7818314824680298,0.6234898018587336,20.0,0.0,14.142857142857142,20.0
2024-06-09,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,9,6,2,23,1,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.3779644730092274,12.0,408.54,0.0,False,False,False,True,False,False,False,False,Cocoa,24.346153846153847,0.0,89.76923076923077,False,6,23,0,0,-0.7818314824680299,0.6234898018587334,4.0,0.0,8.142857142857142,4.0
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,11,2,3,37,0,0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.0,0.0,0.0,0.3333333333333333,1.1428571428571428,0.6,1.6761634196950514,9.0,270.88,0.0,False,False,False,False,False,True,False,False,Espresso,21.9375,0.0,97.125,False,2,37,0,0,0.9749279121818236,-0.22252093395631434,8.0,0.0,12.428571428571429,8.0
2024-04-15,57.8,2.0,28.9,14.0,20.0,17.0,2024,4,15,0,2,16,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,3.0,2.0,1.0,1.3333333333333333,1.2857142857142858,0.9333333333333333,1.1126972805283737,5.0,150.39999999999998,0.4,True,False,False,False,False,False,False,False,Americano,10.78,0.4,90.8,False,0,16,0,0,0.0,1.0,13.0,0.23076923076923078,6.857142857142857,10.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,11,5,2,19,1,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,8.0,293.24,0.0,False,False,False,False,False,False,True,False,Hot Chocolate,12.225,0.0,71.625,False,5,19,0,0,-0.9749279121818236,-0.2225209339563146,4.0,0.0,4.857142857142857,4.0
2024-09-07,83.76,3.0,27.92,12.0,14.0,12.666666666666666,2024,9,7,5,3,36,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,2.0,2.0,0.0,3.0,3.2857142857142856,2.3333333333333335,1.7994708216848754,23.0,612.76,0.1304347826086956,False,True,False,False,False,False,False,False,Americano with Milk,21.463636363636365,0.0,0.0,False,5,36,0,0,-0.9749279121818236,-0.2225209339563146,11.0,0.18181818181818182,10.571428571428571,9.0
2024-07-11,32.82,1.0,32.82,1.0,1.0,1.0,2024,7,11,3,3,28,0,0,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0.0,0.0,1.0,0.6666666666666666,1.0,1.2666666666666666,1.414213562373095,3.0,93.56,0.3333333333333333,False,False,False,False,False,False,False,True,Latte,27.8,0.0,22.75,False,3,28,0,0,0.43388373911755823,-0.900968867902419,2.0,0.0,5.714285714285714,2.0
2025-02-03,71.52,2.0,35.76,19.0,22.0,20.5,2025,2,3,0,1,6,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.4,0.48795003647426444,25.0,796.0,0.08,False,False,False,True,False,False,False,False,Cocoa,-0.304,0.9,87.2,False,0,6,0,0,0.0,1.0,7.0,0.0,8.857142857142858,7.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,16,1,2,16,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.23333333333333334,0.7867957924694429,8.0,276.5,0.0,False,False,False,False,False,True,False,False,Espresso,15.625,0.30000000000000004,89.75,False,1,16,0,0,0.7818314824680298,0.6234898018587336,5.0,0.2,6.142857142857143,4.0
2024-03-09,67.6,2.0,33.8,15.0,16.0,15.5,2024,3,9,5,1,10,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.0,3.0,,1.0,1.2857142857142858,1.625,0.9511897312113418,14.0,479.4,0.1428571428571428,False,True,False,False,False,False,False,False,Americano with Milk,3.857142857142857,0.0,88.71428571428571,False,5,10,0,0,-0.9749279121818236,-0.2225209339563146,8.0,0.125,7.0,7.0
