date,datetime,cash_type,card,money,coffee_name,hour,dow,dow_num,month,week,is_weekend,time_period
2024-03-01,2024-03-01 12:15:50.520000+02:00,card,ANON-0000-0000-0001,38.7,Latte,12,Friday,4,3,9,False,Medio día
2024-03-01,2024-03-01 14:19:22.539000+02:00,card,ANON-0000-0000-0002,38.7,Hot Chocolate,14,Friday,4,3,9,False,Tarde
2024-03-01,2024-03-01 14:20:18.089000+02:00,card,ANON-0000-0000-0002,38.7,Hot Chocolate,14,Friday,4,3,9,False,Tarde
2024-03-01,2024-03-01 15:46:33.006000+02:00,card,ANON-0000-0000-0003,28.9,Americano,15,Friday,4,3,9,False,Tarde
2024-03-01,2024-03-01 15:48:14.626000+02:00,card,ANON-0000-0000-0004,38.7,Latte,15,Friday,4,3,9,False,Tarde
2024-03-01,2024-03-01 17:39:47.726000+02:00,card,ANON-0000-0000-0005,33.8,Americano with Milk,17,Friday,4,3,9,False,Noche
2024-03-01,2024-03-01 18:19:02.756000+02:00,card,ANON-0000-0000-0006,38.7,Hot Chocolate,18,Friday,4,3,9,False,Noche
2024-03-01,2024-03-01 20:39:03.580000+02:00,card,ANON-0000-0000-0007,33.8,Americano with Milk,20,Friday,4,3,9,False,Fuera de horario
2024-03-01,2024-03-01 21:22:01.762000+02:00,card,ANON-0000-0000-0008,38.7,Cocoa,21,Friday,4,3,9,False,Fuera de horario
2024-03-01,2024-03-01 21:23:15.887000+02:00,card,ANON-0000-0000-0008,33.8,Americano with Milk,21,Friday,4,3,9,False,Fuera de horario
2024-03-01,2024-03-01 21:29:17.391000+02:00,card,ANON-0000-0000-0009,33.8,Americano with Milk,21,Friday,4,3,9,False,Fuera de horario
2024-03-02,2024-03-02 12:22:06.957000+02:00,card,ANON-0000-0000-0010,28.9,Americano,12,Saturday,5,3,9,True,Medio día
2024-03-02,2024-03-02 12:30:35.668000+02:00,cash,,40.0,Latte,12,Saturday,5,3,9,True,Medio día
2024-03-02,2024-03-02 12:41:41.249000+02:00,card,ANON-0000-0000-0011,33.8,Americano with Milk,12,Saturday,5,3,9,True,Medio día
2024-03-02,2024-03-02 13:59:45.484000+02:00,card,ANON-0000-0000-0012,33.8,Americano with Milk,13,Saturday,5,3,9,True,Medio día
2024-03-02,2024-03-02 16:38:35.535000+02:00,card,ANON-0000-0000-0013,28.9,Americano,16,Saturday,5,3,9,True,Tarde
2024-03-02,2024-03-02 18:37:24.475000+02:00,card,ANON-0000-0000-0014,33.8,Americano with Milk,18,Saturday,5,3,9,True,Noche
2024-03-02,2024-03-02 19:34:54.969000+02:00,card,ANON-0000-0000-0004,28.9,Americano,19,Saturday,5,3,9,True,Noche
2024-03-03,2024-03-03 12:10:43.981000+02:00,cash,,40.0,Latte,12,Sunday,6,3,9,True,Medio día
2024-03-03,2024-03-03 12:27:18.561000+02:00,card,ANON-0000-0000-0015,38.7,Latte,12,Sunday,6,3,9,True,Medio día
2024-03-03,2024-03-03 13:33:56.118000+02:00,card,ANON-0000-0000-0016,28.9,Cortado,13,Sunday,6,3,9,True,Medio día
2024-03-03,2024-03-03 14:26:56.098000+02:00,card,ANON-0000-0000-0012,28.9,Americano,14,Sunday,6,3,9,True,Tarde
2024-03-03,2024-03-03 15:09:36.321000+02:00,card,ANON-0000-0000-0017,38.7,Hot Chocolate,15,Sunday,6,3,9,True,Tarde
2024-03-03,2024-03-03 19:06:40.271000+02:00,card,ANON-0000-0000-0018,38.7,Cocoa,19,Sunday,6,3,9,True,Noche
2024-03-03,2024-03-03 19:08:45.895000+02:00,card,ANON-0000-0000-0019,28.9,Cortado,19,Sunday,6,3,9,True,Noche
2024-03-03,2024-03-03 20:03:23.369000+02:00,card,ANON-0000-0000-0020,33.8,Americano with Milk,20,Sunday,6,3,9,True,Fuera de horario
2024-03-03,2024-03-03 20:04:27.946000+02:00,card,ANON-0000-0000-0020,33.8,Americano with Milk,20,Sunday,6,3,9,True,Fuera de horario
2024-03-03,2024-03-03 20:08:04.959000+02:00,card,ANON-0000-0000-0020,38.7,Hot Chocolate,20,Sunday,6,3,9,True,Fuera de horario
2024-03-04,2024-03-04 12:03:51.994000+02:00,card,ANON-0000-0000-0001,38.7,Latte,12,Monday,0,3,10,False,Medio día
2024-03-04,2024-03-04 12:54:50.958000+02:00,card,ANON-0000-0000-0021,38.7,Latte,12,Monday,0,3,10,False,Medio día
2024-03-04,2024-03-04 13:05:16.184000+02:00,card,ANON-0000-0000-0012,33.8,Americano with Milk,13,Monday,0,3,10,False,Medio día
2024-03-04,2024-03-04 16:04:37.734000+02:00,card,ANON-0000-0000-0022,24.0,Espresso,16,Monday,0,3,10,False,Tarde
2024-03-05,2024-03-05 11:59:52.651000+02:00,card,ANON-0000-0000-0001,38.7,Latte,11,Tuesday,1,3,10,False,Medio día
2024-03-05,2024-03-05 16:34:55.963000+02:00,card,ANON-0000-0000-0023,38.7,Latte,16,Tuesday,1,3,10,False,Tarde
2024-03-05,2024-03-05 19:34:06.043000+02:00,card,ANON-0000-0000-0024,38.7,Latte,19,Tuesday,1,3,10,False,Noche
2024-03-05,2024-03-05 19:35:25.021000+02:00,card,ANON-0000-0000-0025,38.7,Hot Chocolate,19,Tuesday,1,3,10,False,Noche
2024-03-05,2024-03-05 19:36:28.571000+02:00,card,ANON-0000-0000-0026,38.7,Cocoa,19,Tuesday,1,3,10,False,Noche
2024-03-05,2024-03-05 19:37:13.659000+02:00,card,ANON-0000-0000-0027,38.7,Hot Chocolate,19,Tuesday,1,3,10,False,Noche
2024-03-05,2024-03-05 19:38:09.354000+02:00,card,ANON-0000-0000-0009,38.7,Hot Chocolate,19,Tuesday,1,3,10,False,Noche
2024-03-05,2024-03-05 19:56:15.776000+02:00,card,ANON-0000-0000-0028,28.9,Cortado,19,Tuesday,1,3,10,False,Noche
2024-03-05,2024-03-05 20:01:31.242000+02:00,card,ANON-0000-0000-0028,38.7,Hot Chocolate,20,Tuesday,1,3,10,False,Fuera de horario
2024-03-06,2024-03-06 14:30:27.089000+02:00,cash,,35.0,Americano with Milk,14,Wednesday,2,3,10,False,Tarde
2024-03-06,2024-03-06 15:24:07.667000+02:00,card,ANON-0000-0000-0012,28.9,Americano,15,Wednesday,2,3,10,False,Tarde
2024-03-06,2024-03-06 15:25:14.351000+02:00,card,ANON-0000-0000-0012,28.9,Cortado,15,Wednesday,2,3,10,False,Tarde
2024-03-06,2024-03-06 16:52:01.761000+02:00,card,ANON-0000-0000-0029,38.7,Cappuccino,16,Wednesday,2,3,10,False,Tarde
2024-03-06,2024-03-06 16:53:18.344000+02:00,card,ANON-0000-0000-0029,38.7,Cappuccino,16,Wednesday,2,3,10,False,Tarde
2024-03-07,2024-03-07 12:08:58.945000+02:00,cash,,40.0,Latte,12,Thursday,3,3,10,False,Medio día
2024-03-07,2024-03-07 12:18:40.543000+02:00,card,ANON-0000-0000-0030,38.7,Hot Chocolate,12,Thursday,3,3,10,False,Medio día
2024-03-07,2024-03-07 13:03:58.976000+02:00,card,ANON-0000-0000-0031,38.7,Latte,13,Thursday,3,3,10,False,Medio día
2024-03-07,2024-03-07 13:25:43.977000+02:00,cash,,40.0,Latte,13,Thursday,3,3,10,False,Medio día
2024-03-07,2024-03-07 17:40:22.606000+02:00,card,ANON-0000-0000-0032,28.9,Americano,17,Thursday,3,3,10,False,Noche
2024-03-07,2024-03-07 17:41:28.784000+02:00,card,ANON-0000-0000-0033,33.8,Americano with Milk,17,Thursday,3,3,10,False,Noche
2024-03-08,2024-03-08 12:34:41.283000+02:00,card,ANON-0000-0000-0012,28.9,Cortado,12,Friday,4,3,10,False,Medio día
2024-03-08,2024-03-08 14:22:28.653000+02:00,card,ANON-0000-0000-0034,38.7,Cappuccino,14,Friday,4,3,10,False,Tarde
2024-03-08,2024-03-08 15:53:02.042000+02:00,card,ANON-0000-0000-0035,28.9,Americano,15,Friday,4,3,10,False,Tarde
2024-03-08,2024-03-08 16:44:12.686000+02:00,card,ANON-0000-0000-0012,28.9,Americano,16,Friday,4,3,10,False,Tarde
2024-03-08,2024-03-08 16:45:11.048000+02:00,card,ANON-0000-0000-0033,28.9,Americano,16,Friday,4,3,10,False,Tarde
2024-03-08,2024-03-08 16:46:11.155000+02:00,card,ANON-0000-0000-0012,33.8,Americano with Milk,16,Friday,4,3,10,False,Tarde
2024-03-08,2024-03-08 20:57:51.451000+02:00,card,ANON-0000-0000-0036,38.7,Latte,20,Friday,4,3,10,False,Fuera de horario
2024-03-08,2024-03-08 20:59:24.941000+02:00,card,ANON-0000-0000-0037,38.7,Latte,20,Friday,4,3,10,False,Fuera de horario
2024-03-09,2024-03-09 13:49:37.292000+02:00,cash,,40.0,Hot Chocolate,13,Saturday,5,3,10,True,Medio día
2024-03-09,2024-03-09 14:05:15.559000+02:00,card,ANON-0000-0000-0038,24.0,Espresso,14,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 14:07:38.275000+02:00,card,ANON-0000-0000-0039,28.9,Americano,14,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 14:09:47.714000+02:00,card,ANON-0000-0000-0012,38.7,Cappuccino,14,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 14:13:03.521000+02:00,card,ANON-0000-0000-0040,28.9,Americano,14,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 14:14:26.458000+02:00,card,ANON-0000-0000-0040,28.9,Americano,14,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 15:09:22.229000+02:00,card,ANON-0000-0000-0041,38.7,Latte,15,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 15:41:06.167000+02:00,card,ANON-0000-0000-0042,33.8,Americano with Milk,15,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 15:53:10.408000+02:00,card,ANON-0000-0000-0043,28.9,Cortado,15,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 15:54:36.828000+02:00,card,ANON-0000-0000-0043,38.7,Cappuccino,15,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 16:08:01.829000+02:00,card,ANON-0000-0000-0009,33.8,Americano with Milk,16,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 16:26:52.873000+02:00,card,ANON-0000-0000-0044,38.7,Hot Chocolate,16,Saturday,5,3,10,True,Tarde
2024-03-09,2024-03-09 21:17:57.572000+02:00,card,ANON-0000-0000-0009,38.7,Cappuccino,21,Saturday,5,3,10,True,Fuera de horario
2024-03-09,2024-03-09 21:19:10.084000+02:00,card,ANON-0000-0000-0009,38.7,Hot Chocolate,21,Saturday,5,3,10,True,Fuera de horario
2024-03-10,2024-03-10 09:44:18.538000+02:00,cash,,30.0,Americano,9,Sunday,6,3,10,True,Mañana
2024-03-10,2024-03-10 09:45:29.441000+02:00,cash,,35.0,Americano with Milk,9,Sunday,6,3,10,True,Mañana
2024-03-10,2024-03-10 12:06:02.960000+02:00,cash,,40.0,Latte,12,Sunday,6,3,10,True,Medio día
2024-03-10,2024-03-10 13:19:20.764000+02:00,card,ANON-0000-0000-0045,24.0,Espresso,13,Sunday,6,3,10,True,Medio día
2024-03-10,2024-03-10 19:51:03.048000+02:00,cash,,35.0,Americano with Milk,19,Sunday,6,3,10,True,Noche
2024-03-10,2024-03-10 21:34:00.478000+02:00,card,ANON-0000-0000-0046,38.7,Latte,21,Sunday,6,3,10,True,Fuera de horario
2024-03-10,2024-03-10 21:35:54.712000+02:00,card,ANON-0000-0000-0046,28.9,Cortado,21,Sunday,6,3,10,True,Fuera de horario
2024-03-11,2024-03-11 12:18:46.724000+02:00,cash,,40.0,Latte,12,Monday,0,3,11,False,Medio día
2024-03-11,2024-03-11 13:24:15.022000+02:00,cash,,40.0,Cappuccino,13,Monday,0,3,11,False,Medio día
2024-03-11,2024-03-11 13:24:51.565000+02:00,cash,,30.0,Cortado,13,Monday,0,3,11,False,Medio día
2024-03-11,2024-03-11 13:26:44.221000+02:00,cash,,30.0,Americano,13,Monday,0,3,11,False,Medio día
2024-03-11,2024-03-11 13:32:58.781000+02:00,card,ANON-0000-0000-0035,38.7,Cappuccino,13,Monday,0,3,11,False,Medio día
2024-03-11,2024-03-11 18:24:26.401000+02:00,card,ANON-0000-0000-0047,28.9,Americano,18,Monday,0,3,11,False,Noche
2024-03-11,2024-03-11 18:25:45.664000+02:00,card,ANON-0000-0000-0047,38.7,Latte,18,Monday,0,3,11,False,Noche
2024-03-11,2024-03-11 18:50:49.608000+02:00,card,ANON-0000-0000-0048,28.9,Cortado,18,Monday,0,3,11,False,Noche
2024-03-12,2024-03-12 12:15:00.297000+02:00,cash,,40.0,Latte,12,Tuesday,1,3,11,False,Medio día
2024-03-12,2024-03-12 12:15:34.543000+02:00,card,ANON-0000-0000-0033,28.9,Americano,12,Tuesday,1,3,11,False,Medio día
2024-03-12,2024-03-12 12:16:24.886000+02:00,card,ANON-0000-0000-0033,28.9,Cortado,12,Tuesday,1,3,11,False,Medio día
2024-03-12,2024-03-12 13:20:45.632000+02:00,card,ANON-0000-0000-0049,38.7,Hot Chocolate,13,Tuesday,1,3,11,False,Medio día
2024-03-12,2024-03-12 14:46:23.275000+02:00,card,ANON-0000-0000-0004,33.8,Americano with Milk,14,Tuesday,1,3,11,False,Tarde
2024-03-12,2024-03-12 14:47:26.027000+02:00,card,ANON-0000-0000-0004,28.9,Americano,14,Tuesday,1,3,11,False,Tarde
2024-03-12,2024-03-12 18:15:43.325000+02:00,card,ANON-0000-0000-0050,28.9,Americano,18,Tuesday,1,3,11,False,Noche
2024-03-13,2024-03-13 13:06:43.038000+02:00,card,ANON-0000-0000-0048,38.7,Hot Chocolate,13,Wednesday,2,3,11,False,Medio día
