date,product,h,y,yhat,yhat_p10,yhat_p90,model
2025-02-24,Americano,1,3.0,3.341320311315144,0.8575307547097137,6.046409604561169,lgbm_direct
2025-02-25,Americano,2,5.0,3.2791093461673166,1.0859692078326646,6.577975160485342,lgbm_direct
2025-02-26,Americano,3,5.0,4.559880159997996,1.2803767315545722,5.756801664425193,lgbm_direct
2025-02-27,Americano,4,5.0,4.686672546015957,1.0015856698200962,6.2169615687469175,lgbm_direct
2025-02-28,Americano,5,7.0,3.877486483654138,1.5432476052512232,6.131309124025414,lgbm_direct
2025-03-01,Americano,6,4.0,4.1085903459327175,1.0157136360721035,5.796797136392443,lgbm_direct
2025-03-02,Americano,7,2.0,3.5531383639111063,0.6488738961163022,5.002210985001855,lgbm_direct
2025-02-24,Americano with Milk,1,7.0,3.576060960850387,0.2291544855951004,5.360730656145447,lgbm_direct
2025-02-25,Americano with Milk,2,2.0,1.8118785328926577,0.9491818635220595,3.303132031644954,lgbm_direct
2025-02-26,Americano with Milk,3,3.0,2.320788720391883,0.8918383148902157,3.78456171102154,lgbm_direct
2025-02-27,Americano with Milk,4,1.0,4.845324850497266,0.9900378283527538,4.745381551761777,lgbm_direct
2025-02-28,Americano with Milk,5,4.0,2.708447409580716,0.9762344428074174,4.2427501551875,lgbm_direct
2025-03-01,Americano with Milk,6,1.0,2.04299448529602,0.09012820160842605,3.3543772653546955,lgbm_direct
2025-03-02,Americano with Milk,7,2.0,1.92307032119834,0.3632224312656806,3.5195435429803097,lgbm_direct
2025-02-24,Cappuccino,1,1.0,1.597513648707759,0.08659572313771964,3.097586952759031,lgbm_direct
2025-02-25,Cappuccino,2,3.0,2.4425375590761385,0.22391448256356625,3.6716029627893825,lgbm_direct
2025-02-26,Cappuccino,3,1.0,0.9719384241292119,0.32847390567735546,2.2495913080574086,lgbm_direct
2025-02-27,Cappuccino,4,4.0,2.597264679498793,0.7634209654583786,3.6855020579900537,lgbm_direct
2025-02-28,Cappuccino,5,1.0,1.855416983058204,0.14898578527743367,2.9826262085625457,lgbm_direct
2025-03-01,Cappuccino,6,2.0,1.3741276467921144,-0.005044628726116111,2.6109647806602956,lgbm_direct
2025-03-02,Cappuccino,7,0.0,1.3765203112306663,0.3353947905211824,2.867561017737884,lgbm_direct
2025-02-24,Cocoa,1,5.0,2.9789276643150897,0.021986151929229328,3.2387017749481366,lgbm_direct
2025-02-25,Cocoa,2,1.0,1.8129623323122086,0.9514087740063484,2.968736553763401,lgbm_direct
2025-02-26,Cocoa,3,1.0,1.4764981798800563,0.2537033235680796,2.793165201400046,lgbm_direct
2025-02-27,Cocoa,4,4.0,2.0208818974187466,0.7580462438826001,3.229165304913718,lgbm_direct
2025-02-28,Cocoa,5,1.0,1.6784271842263083,0.07630571143307666,3.0014719690751077,lgbm_direct
