date,product,transactions,h,yhat,model
2025-02-24,Americano,3.0,1,1.0,naive1
2025-02-24,Americano with Milk,7.0,1,3.0,naive1
2025-02-24,Cappuccino,1.0,1,1.0,naive1
2025-02-24,Cocoa,5.0,1,1.0,naive1
2025-02-24,Cortado,0.0,1,0.0,naive1
2025-02-24,Espresso,0.0,1,0.0,naive1
2025-02-24,Hot Chocolate,1.0,1,0.0,naive1
2025-02-24,Latte,5.0,1,0.0,naive1
2025-02-25,Americano,5.0,2,1.0,naive1
2025-02-25,Americano with Milk,2.0,2,3.0,naive1
2025-02-25,Cappuccino,3.0,2,1.0,naive1
2025-02-25,Cocoa,1.0,2,1.0,naive1
2025-02-25,Cortado,0.0,2,0.0,naive1
2025-02-25,Espresso,1.0,2,0.0,naive1
2025-02-25,Hot Chocolate,0.0,2,0.0,naive1
2025-02-25,Latte,0.0,2,0.0,naive1
2025-02-26,Americano,5.0,3,1.0,naive1
2025-02-26,Americano with Milk,3.0,3,3.0,naive1
2025-02-26,Cappuccino,1.0,3,1.0,naive1
2025-02-26,Cocoa,1.0,3,1.0,naive1
2025-02-26,Cortado,1.0,3,0.0,naive1
2025-02-26,Espresso,0.0,3,0.0,naive1
2025-02-26,Hot Chocolate,3.0,3,0.0,naive1
2025-02-26,Latte,4.0,3,0.0,naive1
2025-02-27,Americano,5.0,4,1.0,naive1
2025-02-27,Americano with Milk,1.0,4,3.0,naive1
2025-02-27,Cappuccino,4.0,4,1.0,naive1
2025-02-27,Cocoa,4.0,4,1.0,naive1
2025-02-27,Cortado,0.0,4,0.0,naive1
2025-02-27,Espresso,1.0,4,0.0,naive1
2025-02-27,Hot Chocolate,0.0,4,0.0,naive1
2025-02-27,Latte,4.0,4,0.0,naive1
2025-02-28,Americano,7.0,5,1.0,naive1
2025-02-28,Americano with Milk,4.0,5,3.0,naive1
2025-02-28,Cappuccino,1.0,5,1.0,naive1
2025-02-28,Cocoa,1.0,5,1.0,naive1
2025-02-28,Cortado,0.0,5,0.0,naive1
2025-02-28,Espresso,1.0,5,0.0,naive1
2025-02-28,Hot Chocolate,0.0,5,0.0,naive1
2025-02-28,Latte,3.0,5,0.0,naive1
2025-03-01,Americano,4.0,6,1.0,naive1
2025-03-01,Americano with Milk,1.0,6,3.0,naive1
2025-03-01,Cappuccino,2.0,6,1.0,naive1
2025-03-01,Cocoa,0.0,6,1.0,naive1
2025-03-01,Cortado,0.0,6,0.0,naive1
2025-03-01,Espresso,0.0,6,0.0,naive1
2025-03-01,Hot Chocolate,0.0,6,0.0,naive1
2025-03-01,Latte,1.0,6,0.0,naive1
2025-03-02,Americano,2.0,7,1.0,naive1
2025-03-02,Americano with Milk,2.0,7,3.0,naive1
2025-03-02,Cappuccino,0.0,7,1.0,naive1
2025-03-02,Cocoa,1.0,7,1.0,naive1
2025-03-02,Cortado,0.0,7,0.0,naive1
2025-03-02,Espresso,0.0,7,0.0,naive1
2025-03-02,Hot Chocolate,0.0,7,0.0,naive1
2025-03-02,Latte,1.0,7,0.0,naive1
2025-02-24,Americano,3.0,1,7.0,snaive7
2025-02-24,Americano with Milk,7.0,1,5.0,snaive7
2025-02-24,Cappuccino,1.0,1,2.0,snaive7
2025-02-24,Cocoa,5.0,1,0.0,snaive7
2025-02-24,Cortado,0.0,1,0.0,snaive7
2025-02-24,Espresso,0.0,1,2.0,snaive7
2025-02-24,Hot Chocolate,1.0,1,1.0,snaive7
2025-02-24,Latte,5.0,1,3.0,snaive7
2025-02-25,Americano,5.0,2,5.0,snaive7
2025-02-25,Americano with Milk,2.0,2,5.0,snaive7
2025-02-25,Cappuccino,3.0,2,0.0,snaive7
2025-02-25,Cocoa,1.0,2,5.0,snaive7
2025-02-25,Cortado,0.0,2,0.0,snaive7
2025-02-25,Espresso,1.0,2,1.0,snaive7
2025-02-25,Hot Chocolate,0.0,2,2.0,snaive7
2025-02-25,Latte,0.0,2,0.0,snaive7
2025-02-26,Americano,5.0,3,6.0,snaive7
2025-02-26,Americano with Milk,3.0,3,2.0,snaive7
2025-02-26,Cappuccino,1.0,3,5.0,snaive7
2025-02-26,Cocoa,1.0,3,3.0,snaive7
2025-02-26,Cortado,1.0,3,0.0,snaive7
2025-02-26,Espresso,0.0,3,0.0,snaive7
2025-02-26,Hot Chocolate,3.0,3,2.0,snaive7
2025-02-26,Latte,4.0,3,2.0,snaive7
2025-02-27,Americano,5.0,4,8.0,snaive7
2025-02-27,Americano with Milk,1.0,4,1.0,snaive7
2025-02-27,Cappuccino,4.0,4,4.0,snaive7
2025-02-27,Cocoa,4.0,4,1.0,snaive7
2025-02-27,Cortado,0.0,4,0.0,snaive7
2025-02-27,Espresso,1.0,4,1.0,snaive7
2025-02-27,Hot Chocolate,0.0,4,2.0,snaive7
2025-02-27,Latte,4.0,4,2.0,snaive7
2025-02-28,Americano,7.0,5,11.0,snaive7
2025-02-28,Americano with Milk,4.0,5,1.0,snaive7
2025-02-28,Cappuccino,1.0,5,3.0,snaive7
2025-02-28,Cocoa,1.0,5,3.0,snaive7
2025-02-28,Cortado,0.0,5,0.0,snaive7
2025-02-28,Espresso,1.0,5,1.0,snaive7
2025-02-28,Hot Chocolate,0.0,5,1.0,snaive7
2025-02-28,Latte,3.0,5,3.0,snaive7
2025-03-01,Americano,4.0,6,2.0,snaive7
2025-03-01,Americano with Milk,1.0,6,1.0,snaive7
2025-03-01,Cappuccino,2.0,6,0.0,snaive7
2025-03-01,Cocoa,0.0,6,0.0,snaive7
2025-03-01,Cortado,0.0,6,0.0,snaive7
2025-03-01,Espresso,0.0,6,1.0,snaive7
2025-03-01,Hot Chocolate,0.0,6,1.0,snaive7
2025-03-01,Latte,1.0,6,0.0,snaive7
2025-03-02,Americano,2.0,7,1.0,snaive7
2025-03-02,Americano with Milk,2.0,7,3.0,snaive7
2025-03-02,Cappuccino,0.0,7,1.0,snaive7
2025-03-02,Cocoa,1.0,7,1.0,snaive7
2025-03-02,Cortado,0.0,7,0.0,snaive7
2025-03-02,Espresso,0.0,7,0.0,snaive7
2025-03-02,Hot Chocolate,0.0,7,0.0,snaive7
2025-03-02,Latte,1.0,7,0.0,snaive7
2025-02-24,Americano,3.0,1,5.714285714285714,ma7
2025-02-24,Americano with Milk,7.0,1,2.5714285714285716,ma7
2025-02-24,Cappuccino,1.0,1,2.142857142857143,ma7
2025-02-24,Cocoa,5.0,1,1.8571428571428572,ma7
2025-02-24,Cortado,0.0,1,0.0,ma7
2025-02-24,Espresso,0.0,1,0.8571428571428571,ma7
2025-02-24,Hot Chocolate,1.0,1,1.2857142857142858,ma7
2025-02-24,Latte,5.0,1,1.4285714285714286,ma7
