date,product,h,y,yhat,yhat_p10,yhat_p90,model
2025-02-24,Americano,1,3.0,4.986046855672071,3.2371703629469,6.734923348397242,sarimax
2025-02-25,Americano,2,5.0,4.814817120503297,3.0475595808708196,6.582074660135774,sarimax
2025-02-26,Americano,3,5.0,4.900140668258766,3.1146196125676835,6.685661723949849,sarimax
2025-02-27,Americano,4,5.0,5.139937519101777,3.336266626826541,6.943608411377014,sarimax
2025-02-28,Americano,5,7.0,5.4510407112593535,3.629329984654283,7.272751437864424,sarimax
2025-03-01,Americano,6,4.0,4.548418408255308,2.7087743356761083,6.388062480834507,sarimax
2025-03-02,Americano,7,2.0,4.44511264677751,2.5876383560182865,6.3025869375367325,sarimax
2025-02-24,Americano with Milk,1,7.0,2.243811099043743,-0.20101903716149883,4.688641235248985,sarimax
2025-02-25,Americano with Milk,2,2.0,2.282610695254718,-0.17933651229318892,4.744557902802624,sarimax
2025-02-26,Americano with Milk,3,3.0,2.435480129658332,-0.043350215989070406,4.914310475305735,sarimax
2025-02-27,Americano with Milk,4,1.0,2.649899222312134,0.1544141382827866,5.145384306341482,sarimax
2025-02-28,Americano with Milk,5,4.0,2.5499162833859303,0.03799954257492688,5.061833024196934,sarimax
2025-03-01,Americano with Milk,6,1.0,2.563834810086347,0.035704379502679906,5.091965240670014,sarimax
2025-03-02,Americano with Milk,7,2.0,2.388888791697301,-0.15524228375895666,4.9330198671535594,sarimax
2025-02-24,Cappuccino,1,1.0,1.273516818333245,-0.4526264119412311,2.999660048607721,sarimax
2025-02-25,Cappuccino,2,3.0,1.185854104002703,-0.5402885059272171,2.9119967139326235,sarimax
2025-02-26,Cappuccino,3,1.0,1.3889167293341993,-0.33722526041327194,3.1150587190816705,sarimax
2025-02-27,Cappuccino,4,4.0,1.3575029480496414,-0.36863842167744587,3.083644317776729,sarimax
2025-02-28,Cappuccino,5,1.0,1.2880644424205143,-0.438076307448211,3.0142051922892397,sarimax
2025-03-01,Cappuccino,6,2.0,1.1553269590926059,-0.570813171079738,2.88146708926495,sarimax
2025-03-02,Cappuccino,7,0.0,1.2288642416371027,-0.4972752690007973,2.955003752275003,sarimax
2025-02-24,Cocoa,1,5.0,1.2241100173522814,0.05803097339133423,2.3901890613132286,sarimax
2025-02-25,Cocoa,2,1.0,2.060090961267088,0.876951695389163,3.2432302271450126,sarimax
2025-02-26,Cocoa,3,1.0,1.5994356401293697,0.402040303459281,2.796830976799458,sarimax
2025-02-27,Cocoa,4,4.0,1.1599583703151197,-0.04937720739569129,2.3692939480259305,sarimax
2025-02-28,Cocoa,5,1.0,1.6474738984440978,0.42811908109687247,2.866828715791323,sarimax
2025-03-01,Cocoa,6,0.0,0.41145095136690024,-0.8163239459737057,1.6392258487075062,sarimax
2025-03-02,Cocoa,7,1.0,0.78056992943354,-0.45428996190095194,2.015429820768032,sarimax
2025-02-24,Cortado,1,0.0,0.24135686359566141,-1.0911849000492968,1.5738986272406195,sarimax
2025-02-25,Cortado,2,0.0,0.24407294611701008,-1.0917635346922552,1.5799094269262755,sarimax
2025-02-26,Cortado,3,1.0,0.23867112585770472,-1.1004072412029235,1.577749492918333,sarimax
2025-02-27,Cortado,4,0.0,0.2362888482726289,-1.1059795648449608,1.5785572613902186,sarimax
2025-02-28,Cortado,5,0.0,0.24158991971209942,-1.1038176662574892,1.586997505681688,sarimax
2025-03-01,Cortado,6,0.0,0.2351206326894676,-1.1133761969488503,1.5836174623277857,sarimax
2025-03-02,Cortado,7,0.0,0.23424597683431658,-1.1172910890728116,1.5857830427414448,sarimax
2025-02-24,Espresso,1,0.0,0.36366554636703946,-0.4753920484391935,1.2027231411732724,sarimax
2025-02-25,Espresso,2,1.0,0.3969590185599675,-0.44245210528248513,1.23637014240242,sarimax
2025-02-26,Espresso,3,0.0,0.42052920230943514,-0.41923540894766864,1.260293813566539,sarimax
2025-02-27,Espresso,4,1.0,0.38014637204022217,-0.4599716850950215,1.2202644291754658,sarimax
2025-02-28,Espresso,5,1.0,0.3735644330518664,-0.4669070285099297,1.2140358946136625,sarimax
2025-03-01,Espresso,6,0.0,0.4244879173568653,-0.4163369072646589,1.2653127419783896,sarimax
2025-03-02,Espresso,7,0.0,0.4591059674853318,-0.3820721789137433,1.3002841138844068,sarimax
2025-02-24,Hot Chocolate,1,1.0,1.1732793132180157,-0.07562179947563119,2.4221804259116624,sarimax
2025-02-25,Hot Chocolate,2,0.0,1.1060387104699314,-0.15370049359618787,2.365777914536051,sarimax
2025-02-26,Hot Chocolate,3,3.0,1.1141840235324239,-0.15605831028581418,2.384426357350662,sarimax
2025-02-27,Hot Chocolate,4,0.0,1.063288433061335,-0.21713576438585913,2.343712630508529,sarimax
2025-02-28,Hot Chocolate,5,0.0,1.1444446097398686,-0.14585307886494348,2.4347422983446805,sarimax
2025-03-01,Hot Chocolate,6,0.0,1.1364218322780713,-0.16345313224900915,2.4362967968051517,sarimax
2025-03-02,Hot Chocolate,7,0.0,1.202121399365414,-0.10704610522080982,2.511288903951638,sarimax
2025-02-24,Latte,1,5.0,1.482254916987285,-0.5496103988635421,3.514120232838112,sarimax
2025-02-25,Latte,2,0.0,1.2698157427594172,-0.7699284766861039,3.309559962204938,sarimax
2025-02-26,Latte,3,4.0,1.403933146297083,-0.6436184692441571,3.451484761838323,sarimax
2025-02-27,Latte,4,4.0,1.4005763925355583,-0.6547121422807618,3.4558649273518784,sarimax
2025-02-28,Latte,5,3.0,1.4645452588346641,-0.598410725228185,3.527501242897513,sarimax
2025-03-01,Latte,6,1.0,1.2536433181518025,-0.8169116288273575,3.3241982651309625,sarimax
2025-03-02,Latte,7,1.0,1.2518470843225287,-0.8262393006057858,3.329933469250843,sarimax
2025-03-03,Americano,1,4.0,4.137067273090539,2.3885425145045014,5.885592031676576,sarimax
2025-03-04,Americano,2,9.0,4.41445852571475,2.648620844887779,6.180296206541721,sarimax
2025-03-05,Americano,3,6.0,4.404352536272349,2.6214022786922078,6.187302793852489,sarimax
2025-03-06,Americano,4,3.0,4.381124148149909,2.581255884472358,6.18099241182746,sarimax
2025-03-07,Americano,5,4.0,4.617553965941631,2.800956771003089,6.434151160880172,sarimax
2025-03-08,Americano,6,4.0,4.292829472050858,2.459687185250777,6.125971758850939,sarimax
2025-03-09,Americano,7,2.0,4.033058031798744,2.183549500424125,5.882566563173363,sarimax
2025-03-03,Americano with Milk,1,2.0,2.2161392528255344,-0.23590904904275067,4.668187554693819,sarimax
2025-03-04,Americano with Milk,2,2.0,2.5801220443071617,0.11390367763943132,5.046340410974892,sarimax
2025-03-05,Americano with Milk,3,3.0,2.459636888244919,-0.020598438465503577,4.939872214955342,sarimax
2025-03-06,Americano with Milk,4,3.0,2.562286335446373,0.0681842035903224,5.056388467302424,sarimax
2025-03-07,Americano with Milk,5,3.0,2.344193847513142,-0.1636277899968719,4.852015485023156,sarimax
2025-03-08,Americano with Milk,6,3.0,2.5614116289650575,0.040015020049867456,5.082808237880247,sarimax
2025-03-09,Americano with Milk,7,2.0,2.513880679649084,-0.020949045544639944,5.048710404842808,sarimax
2025-03-03,Cappuccino,1,4.0,1.490322216798715,-0.24025158037393424,3.2208960139713643,sarimax
2025-03-04,Cappuccino,2,1.0,1.572478669181127,-0.15907546318768961,3.3040328015499436,sarimax
2025-03-05,Cappuccino,3,3.0,1.4669526613702661,-0.2655821661530158,3.1994874888935483,sarimax
2025-03-06,Cappuccino,4,2.0,1.564288575281593,-0.1692273075971833,3.2978044581603694,sarimax
2025-03-07,Cappuccino,5,2.0,1.4952074598047953,-0.23928983887325828,3.229704758482849,sarimax
2025-03-08,Cappuccino,6,1.0,1.55589735344127,-0.17958172172262254,3.2913764286051626,sarimax
2025-03-09,Cappuccino,7,2.0,1.476337415372397,-0.26012379720669676,3.2127986279514906,sarimax
2025-03-03,Cocoa,1,2.0,1.9786646071226572,0.7754683020274016,3.181860912217913,sarimax
2025-03-04,Cocoa,2,2.0,1.7526134675393759,0.5426058493375849,2.9626210857411666,sarimax
2025-03-05,Cocoa,3,2.0,1.5568488131387754,0.340270456981862,2.773427169295689,sarimax
2025-03-06,Cocoa,4,1.0,1.8118439756228297,0.5889255422335955,3.034762409012064,sarimax
2025-03-07,Cocoa,5,2.0,1.5681394736918117,0.33910222770716647,2.797176719676457,sarimax
2025-03-08,Cocoa,6,0.0,0.9179108518100969,-0.3170328558435409,2.1528545594637345,sarimax
2025-03-09,Cocoa,7,1.0,1.2175973036003076,-0.023048978805122244,2.4582435860057377,sarimax
2025-03-03,Cortado,1,0.0,0.18635366110545853,-1.1347833544369048,1.507490676647822,sarimax
